Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu169,0.145418595506213,0,0,0,0.0211770543693021,0.194585161244032,0,0,0,0,0.0161886968510998,0.0144604152791959,0.0214094611956944,0,0,0.250105002557429,0,0.00149807681021589,0.271625188912289,0,0.063532347274529,0,0.676,0.0304463762728181,1.09827338488034
wu171,0.149045681383697,0,0.00703805850822043,0.00163904353227935,0.0671607485332965,0.114075154772274,0.0441871543434476,0,0,0,0.0802301610764248,0,0.0212840456371165,0.292940032698437,0.00344853025903733,0.103540939366614,0,0.0228408450468032,0,0.0925696048423522,0,0,0.002,0.392097861821357,0.930133569245566
wu174,0.0176636356782665,0,0.0497565428190898,0.116788063766363,0,0.0736980685604148,0,0.188636172585139,0,0,0,0,0.0647722815319876,0,0,0.364097608821341,0,0.0739296086124719,0,0,0.0506580176249268,0,0.96,-0.0416213494296587,1.11794561329628
wu176,0.282871192708327,0,0.0211380177883026,0.0171688500046782,0.0581959383578534,0.156044417947504,0.107853603441309,0,0,0,0.115044004251802,0,0.0561518596896223,0.0298548929197422,0,0.054849151857724,0,0.0359246384733915,0.0649034325597439,0,0,0,0.996,-0.0882906180261165,1.1333832519178
wu178,0.160354913616594,0,0.28140190059515,0.141288354436421,0,0,0,0,0.173872343123551,0,0.074725122725726,0,0.00929034540776157,0.0548198591566443,0,0,0.0424548526704478,0.00535583753737692,0,0.00150505683419016,0.054931413896137,0,0.992,-0.0737062593945826,1.11127687401926
wu181,0.190980214894426,0,0,0,0,0.238907778405612,0.172493133328986,0,0,0,0.10784924052157,0,0.0644648612220513,0.0714209999939379,0,0.00528405192870396,0.0156230479369147,0.0657818410383427,0.0418880799304722,0,0.0253067507989826,0,0.688,0.0286264743724375,1.07701902210869
wu182,0.253122999959405,0,0,0,0,0.0872737866212018,0,0.0935427342993067,0.125067151736405,0,0.147477050056826,0,0.0115014060149283,0.0360401117368911,0,0.0660520028260033,0.0481316931247281,0,0.0550208508753,0,0.0767702127490052,0,0.954,-0.0380093722768557,1.11945905778244
wu183,0.218679683245924,0,0.120446695805569,0,0,0.149764461573743,0,0,0.0697480343321458,0,0.20688474875692,0,0.0473112271011393,0.0427824631348839,0,0,0.0125038941812061,0.0212892802117008,0.0653668559005785,0,0.0452226557561907,0,0.992,-0.0768656266980917,1.12949182600156
wu184,0.227278826870031,0,0,0.173470773704102,0.0941331534818711,0,0,0,0.165231503026146,0,0.133318006451877,0,0.0184234312871809,0.133383099622308,0,0,0,0,0.0547612055564832,0,0,0,0.998,-0.120233703785945,1.18280524312321
wu186,0.242850353702197,0,0,0.111339970428555,0,0.0617959734314055,0.0216044395728615,0,0.0268270961959229,0,0.103214258167993,0,0.0409895193973074,0,0,0.21552466754622,0,0.0717659132280921,0.0341570673858815,0,0.0699307409435636,0,0.986,-0.0603616842727726,1.11606612477805
wu187,0.157225566517914,0,0,0,0.102483646975514,0.104308319362817,0,0,0.2082966566942,0,0.199941704041743,0,0.0116957037907235,0.0209369654827556,0,0,0.00225210513476613,0.0654593339203679,0.089652322298434,0,0.0377476757807642,0,0.95,-0.0352955448512421,1.13823847469414
wu189,0.0827146825870892,0.0509513692527366,0.0516686827774521,0,0.0605539597802068,0.229287410519772,0.0501103044505315,0,0,0,0.113371497984613,0,0.0934735124753063,0,0,0.0789481617525848,0,0.0503433087912354,0.0716892908450816,0,0.0668878187833904,0,0.404,0.081438497579991,1.05092706699862
wu190,0.116547507853987,0,0,0,0.0413454022719418,0.166235104046001,0.170361056945618,0,0,0,0.121624660993347,0,0.0240780327911201,0,0,0.0864114987690029,0,0.0471997252617126,0.163800464345952,0,0.0623965467213174,0,0.988,-0.0616434318263821,1.10643142186793
wu191,0.147888558605027,0,0.00924567632439746,0,0.19323571972603,0.172960598191265,0,0,0,0,0.11883433712236,0,0.029765695498388,0.0817188113171885,0.069386999747322,0.0679698352034183,0,0,0.108993768264603,0,0,0,0.904,-0.0226898463203499,1.11220645059775
wu192,0.178321733509183,0,0.0112344025867145,0,0.148245582797397,0,0,0.045112220012539,0.193260301417467,0,0.199431602725436,0,0.0469313759683824,0,0,0.141697952201573,0,0,0.0336516314153386,0,0.00211319736597072,0,0.998,-0.091614036816278,1.15490946881057
wu194,0.146049107216893,0,0.093245909974717,0.0714177235381442,0.088213672965477,0.116162438796552,0.190186479781387,0,0,0,0.107548107121106,0,0.0716829963481699,0.0446324971864382,0,0,0,0.0384135489068832,0,0.021049999831761,0.011397518332472,0,0.1,0.15309881304533,1.02355440287081
wu195,0.250008673251553,0,0.0379583847955766,0.0146307311631519,0.121231751657494,0.144235506507813,0.03262956700585,0,0,0,0.125991790670393,0,0.051808541716762,0.0214141544025879,0,0.039007792818527,0.0270538392381297,0.0796094540409853,0,0.0437091539428249,0.0107106587883517,0,0.562,0.0499144855466875,1.07687368780323
